Last Name,Ward,,Councillor,"
2011.EX1.5 Reduce Councillor Expense Budgets","
2011.EX1.7 Eliminate Vehicle Registration Tax","
2011.EX1.8 
Make TTC an Essential Service","
2011.MM3.2 Freeze Council Salaries","
2011.CD1.9 
Don't Condemn Fed. Cuts to Immigration Agencies","
2011.EX3.5 (M1)
Freeze Property Taxes for 2011 (no 0.155% increase)","
2011.EX3.2 (M1)
Eliminate Water Efficiency Rebate Programs","
2011.EX3.4 (M2.1)
Close the Urban Affairs Library","
2011.EX3.4 Eliminate $75,000 from the Tenant Defence Fund","
2011.CC6.1
Dissolve TCHC Board; replace with Case Ootes","
2011.EX4.7(M8)
Reduce number of councillors on boards & agencies","
2011.GM2.16 (M2)
Rescind previous ban on sale of bottled water","
2011.EX4.10 
Conduct extensive service review to find savings","
2011.PW3.1 
Move forward with process for contracting out garbage","
2011.MM8.6 
Kill the Fort York Pedestrian / Cycling Bridge","
2011.EX5.3 (M1a) 
Eliminate the Aboriginal Affairs Committee","
2011.PW3.5 (M1)
Use less environmentally-friendly treatment process at Ashbridges","
2011.EX6.5
Approve sale of 22 TCHC single-family homes","
2011.PW5.1 (M7a)
Eliminate Bike Lanes on Jarvis Street1","
2011.MM10.9
Uphold decision to reject two provincially-funded public health nurses","
2011.EX9.6
Revitalization of Lower Don Lands & Port Lands","
2011.PW7.9 (M2)
Review the Scramble Intersection at Yonge & Dundas","
2011.EX10.1 (M3a)
Consider privatization of the Toronto Parking Authority","
2011.EX10.1 (M3b)
Eliminate the Neighbourhood Realm Improvement Program","
2011.EX10.1 (M6e)
Eliminate the Toronto Youth Cabinet & Seniors Forum","
2011.EX10.1 (M7a)
Eliminate Community Environment Days","
2011.EX10.1 (M11)
Stop funding the Christmas Bureau","
2011.EX10.1 (M16a)
Consider eliminating the Hardship Fund","
2011.EX10.1 (2b)
Look at outsourcing city-owned theatres","
2011.EX10.1 (7)
Extend timeline to achieve city's tree canopy goals","
2011.CC13.5
Award solid waste contract to Green For Life","
2011.EX13.2 (M1)
Hold fewer than 44 Community Environment Days each year","
2011.EX13.2 (M3)
Start charging charities & churches for waste collection","
2011.MM14.3
Let the Labour Relations Committee make final decision re: labour contract ","
2012.EX14.1 (M1) Don't use $15m from 2011 operating surplus to maintain services","
2012.EX14.1 (M5)
Charge $2 to swim at indoor and outdoor pools","
2012.EX14.1 (M6) 
Cut three positions from the Toronto Environment Office ","
2012.EX14.1 (M9)
Force library to cut $3.9 million from operating budget","
2012.EX14.1 (M12a)
Eliminate Live Green Toronto Community Animators Program","
2012.EX14.1 (M12b)
Consider contracting out custodial services in Real Estate Services","
2012.CC17.1 (M3b)
Bury the Eglinton LRT east of Laird, focus all plans on underground transit","
2012.EX16.8 (M1)
Don't reconstitute the board of the TTC to support council LRT plan","
2012.CC20.1 (M1)
Reject recommendations of panel, build Sheppard Subway  regardless","
2012.CC22.6 (M1)
Waive planned 2012 fees for sports fields  ","
2012.GM12.21 (M3.3)
Continue practice of contracting out cleaning services without council approval","
2012.EX20.2 (M1.1)
Eliminate mandatory plastic bag fee","
2012.EX20.2 (M8)
Don't ban single-use plastic bags","
2012.CC22.5 (M1)
Don't try to preserve federal gun registry data for Toronto","
2012.PW17.9 (M1)
Confirm decision to eliminate bike lanes on Jarvis Street","
2012.EX23.4 (M1a)
Do not give special consideration to school year when moving tenants for sale of TCHC homes","
2012.CC27.6
Don't sign the master agreement with Metrolinx for new LRT lines","
2012.CC27.13 (M3)
Look for efficiencies at accountability offices","
2012.EX25.10 (M1a)
Freeze solid waste user fees for 2013","
2012.EX25.10 (M2)
Collect solid waste user fees from charities & not-for-profits in 2013","
2012.PW19.1
Uphold Speaker decision to not consider bringing back five cent plastic bag fee","
2012.ST8.1
Put Councillor Mike Del Grande on the Police Services Board","
 Don't increase residential tax rate by extra 0.25% to maintain services","
Don't use $1.163 million in investment earnings to fund Student Nutrition","
 Don't conduct review to keep budget process more transparent ","
Continue to charge youth drop-in fees at indoor pools","
Don't add $75K to the Tenant Defence Fund","
Don't direct $60K In investment earnings to the Toronto Botanical Gardens","
Don't direct $894K in investment earnings to Community Partnership Programs","
Reduce funding for AIDS programs by $104K","
Don't use $3.8m provincial contribution to fund 264 new childcare spaces","
Don't consider allocating $6.8m from surplus to social housing reserve  ","
Take part-time position from Ombudsman, give it to Auditor General","
Compromise on Fire Services - hold reductions until after reports come in","
Wait another month to debate homeless shelters (Two-thirds required)","
Do not appoint Councillor Adam Vaughan to the Executive Committee","
Endorse Canadian government's efforts to ""remove illegal immigrants""","
Accept proposed payment in lieu of taxes settlement with Island Airport","
Grant contract to Hero Certified Burgers to operate in Nathan Phillips Square","
Dismiss all possible Metrolinx revenue tools without council debate","
Do not specifically endorse any Metrolinx funding tools ","
Commission a report on allowing jets at Toronto Island Airport","
Remove the showers and change room from Nathan Phillips Square bike station plan","
Move forward with plans for a casino at Woodbine Racetrack","
As part of ward boundary review, consider shrinking the size of Toronto City Council","
Do not request province to allow Permanent Residents to vote in municipal elections","
Do not request province to authorize use of ranked balloting in municipal elections","
Adopt Rob Ford's plan to finance Sheppard Subway with 0.25% annual property tax increase","
Support Rob Ford's motion to build a Scarborough subway","
Respond to petition from Toronto Taxpayers Coalition by reducing the number of councillors","
Hold a byelection to fill vacant council seat in Ward 3","
Move forward with Scarborough subway on McCowan alignment","
Change funding plan for Scarborough subway to accommodate 0.25% property tax increase","
Keep Councillor Adam Vaughan off Mayor Rob Ford's executive committee","
Don't request Mayor Rob Ford apologize for misleading statements regarding crack video","
Don't restrict Mayor Rob Ford's powers with respect to appointing deputy mayor and committee chairs","
Don't remove Mayor Rob Ford's procedural powers and grant them to Deputy Mayor Norm Kelly","
Limit water rate increase to 3% in 2015 - do not plan for 8% rate increase","
Do not exempt charitable organizations from paying waste collection fees","
Report back on contracting out garbage east of Yonge Street by January 2015","
Don't allow council to vote separately on general property tax increase and increase for Scarborough subway","
Cut the 2014 budget for tree planting by $7-million","
Eliminate Security Guard Service at Toronto Public Library","
Eliminate City Council General Expense Budget and Business Travel Expenses Budget","
Reduce external grant funding by $5-million","
Eliminate about $2-million from the operating budget by  rejecting planned increases to programs","
Cut City Council's Staff Salary Budget by $1-million","
Don't restore $75,000 funding to the Tenant Defence Fund","
Request a report on reducing the Land Transfer Tax by 5% as part of the 2015 budget","
Start implementing reforms to the Toronto taxicab industry in 2019, not 2014","
Reject the expansion plan for BMO field","
Don't consider further restrictions to hours of operation at Toronto island airport","
Reject rule prohibiting food trucks from operating within 50-metres of restaurants","
Permit electronic advertising on transit shelters ","
Uphold ban on Electronic Dance Music Concerts at Exhibition Place","
Do not move forward with plan to provide access to city services for undocumented residents","
Don't establish a Local Appeal Body and request province abolish the OMB's jurisdiction over Toronto","
Request report on removing city from governance relationship with Waterfront Toronto","
Name the Union Station Plaza to honour Sir John A. Macdonald","
Don't implement the Eglinton Connects plan","
Move forward with proposal for new electronic billboards along Highways 401 and 427 ","
End the term of Ombudsman Fiona Crean without further consideration of reappointment","
Don't refer request that MLSE allocate 10% of community hours to TCHC residents","
Defer consideration of the McNicoll Bus Garage to next term","
Attempt to find alternative location for Cornerstone Shelter",Ford Nation Percentage,Ford Nation Percentage,Ford Nation Percentage,Ford Nation Percentage,Ford Nation Percentage,Ford Nation Percentage,Ford Nation Percentage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.EX27.3 (M2),2013.EX27.1 (M1b.1),2013EX27.1 (M1d),2013.EX27.1(M2a.1),2013.EX27.1(M2b),2013.EX27.1 (M5a),2013.EX27.1 (M5b),2013.EX27.1 (M5c.2),2013.EX27.1 (M6a),2013.EX27.1 (M6b),2013.EX27.1 (M7a),2013.EX27.1 (M3),2013.CD18.9 (Procedural),2013.ST19.1 (M1),2013.CD18.5 (M2),2013.GM20.3 (Revote),2013.GM20.12,2013.EX31.3 (Remove),2013.EX31.3 (M19),2013.EX31.27,2013.GM21.10,2013.EX30.1 (M2b),2013.EX32.2,2013.GM22.15 (M2b),2013.GM22.15 (M4),"CC37.17 (M1, Part 3)","CC37.17 (M1, balance)",CC37.2 (M1),CC38.1 (M1),CC39.5 (M1),CC39.5 (M4),ST11.1 (M2),MM41.25 (Part 1),CC42.1,CC44.1,"EX36.17 (M1,RV)",EX36.18 (M1b),PW27.7 (M1),EX37.3 (UPHOLD),EX37.1 (M2a),EX37.1 (M2f),EX37.1 (M2l),EX37.1 (M2o),EX37.1 (M2q-balance),EX37.1 (M2r),EX37.1 (4c),EX37.1 (16a),LS26.1 (M2),EX39.4,EX40.1 (M5),LS27.1 (M14c1),CC51.8,MM51.5,CD29.11 (M2),PG33.14,EX43.13,EX43.16 (M1),PG34.1,PG34.8 (M1),CC54.2 (M2),EX44.3 (M4b),PG35.23 (M1a),CD31.7 (M3a),2011 TOTAL,2012 TOTAL,2013 TOTAL,2011 + 2012,2011 + 2012 + 2013,2014 TOTAL,TERM TOTAL
"AFord, Rob",0,,"Rob Ford
Mayor of Toronto",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Consensus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Consensus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Absent,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Ainslie,43,,"Paul Ainslie
Ward 43 Scarborough East",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Consensus,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Consensus,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Consensus,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,96.88%,95.24%,40.54%,96.23%,73.33%,20.00%,61.74%
Augimeri,9,,"Maria Augimeri
Ward 9 York Centre",Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Consensus,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Consensus,No,No,No,No,No,No,No,No,No,No,Absent,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Absent,No,Yes,No,No,No,No,Yes,No,No,Yes,Absent,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,12.12%,0.00%,16.67%,7.55%,11.24%,8.00%,10.53%
Baeremaeker,38,,"Glenn De Baeremaeker
Ward 38 Scarborough Centre",Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Consensus,No,No,No,No,No,No,No,No,No,No,Absent,Absent,Absent,No,No,No,No,No,No,No,No,No,Consensus,No,No,No,No,No,No,No,No,No,Yes,Absent,No,No,No,No,No,No,No,No,No,No,No,No,Consensus,No,Yes,No,Absent,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Absent,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,16.67%,5.00%,22.22%,12.00%,16.28%,25.00%,18.18%
Bailao,18,,"Ana Bailão
Ward 18 Davenport",Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Consensus,Absent,No,No,No,No,Yes,No,No,No,No,No,No,Absent,No,No,No,No,No,No,No,No,No,Consensus,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Consensus,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Absent,No,No,No,No,Absent,Absent,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Absent,Yes,No,No,No,Absent,Absent,No,Yes,No,No,No,No,29.03%,14.29%,44.12%,23.08%,31.40%,22.73%,29.63%
Berardinetti,35,,"Michelle Berardinetti
Ward 35 Scarborough Southwest",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Consensus,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Absent,No,No,Absent,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Consensus,Yes,Yes,No,Absent,Yes,No,Yes,Yes,Absent,No,No,No,No,No,Yes,No,Absent,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Absent,No,No,Absent,No,Yes,Yes,Absent,Yes,Absent,84.85%,63.16%,44.12%,76.92%,63.95%,33.33%,57.94%
Carroll,33,,"Shelley Carroll
Ward 33 Don Valley East",Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Absent,No,No,Consensus,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Consensus,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Consensus,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Absent,Absent,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Absent,No,No,No,No,No,No,No,No,No,No,No,15.63%,0.00%,0.00%,9.43%,5.68%,4.17%,5.36%
Cho,42,,"Raymond Cho
Ward 42 Scarborough-Rouge River",Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Consensus,Absent,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Consensus,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Consensus,No,Yes,No,No,Absent,Absent,Yes,Yes,No,No,Absent,Absent,Absent,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Absent,Absent,Absent,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Absent,No,No,Absent,No,No,No,No,No,No,25.00%,0.00%,31.03%,15.09%,20.73%,13.04%,19.05%
Colle,15,,"Josh Colle
Ward 15 Eglinton-Lawrence",Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Absent,Yes,Yes,No,Consensus,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Consensus,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Consensus,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Absent,No,Yes,No,Absent,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Absent,No,Absent,Yes,Absent,Yes,No,Yes,43.75%,19.05%,51.43%,33.96%,40.91%,45.45%,41.82%
